,model,data,series,metrics,values
209,model_XGB,train,SMOTE,fp,1.0
210,model_XGB,val,SMOTE,fp,0.0
211,model_XGB,test,SMOTE,fp,2.0
212,model_XGB,train,SMOTE,fp,0.0
213,model_XGB,val,SMOTE,fp,0.0
214,model_XGB,test,SMOTE,fp,3.0
215,model_logistic,train,imbalanced,fp,175.0
216,model_logistic,val,imbalanced,fp,49.0
217,model_logistic,train,imbalanced,fp,175.0
218,model_logistic,val,imbalanced,fp,49.0
219,model_logistic,test,imbalanced,fp,20.0
220,model_logistic,train,imbalanced,fp,203.0
221,model_logistic,val,imbalanced,fp,44.0
222,model_logistic,test,imbalanced,fp,26.0
223,model_logistic,train,imbalanced,fp,196.0
224,model_logistic,val,imbalanced,fp,50.0
225,model_logistic,test,imbalanced,fp,20.0
226,model_logistic,train,imbalanced,fp,192.0
227,model_logistic,val,imbalanced,fp,48.0
228,model_logistic,test,imbalanced,fp,25.0
229,model_logistic,train,imbalanced,fp,205.0
230,model_logistic,val,imbalanced,fp,62.0
231,model_logistic,test,imbalanced,fp,23.0
232,model_logistic,train,SMOTE,fp,218.0
233,model_logistic,val,SMOTE,fp,49.0
234,model_logistic,test,SMOTE,fp,23.0
235,model_logistic,train,SMOTE,fp,216.0
236,model_logistic,val,SMOTE,fp,48.0
237,model_logistic,test,SMOTE,fp,23.0
238,model_logistic,train,SMOTE,fp,215.0
239,model_logistic,val,SMOTE,fp,48.0
240,model_logistic,test,SMOTE,fp,23.0
241,model_logistic,train,SMOTE,fp,213.0
242,model_logistic,val,SMOTE,fp,52.0
243,model_logistic,test,SMOTE,fp,23.0
244,model_logistic,train,SMOTE,fp,205.0
245,model_logistic,val,SMOTE,fp,61.0
246,model_logistic,test,SMOTE,fp,23.0
247,model_LinearSVC,train,imbalanced,fp,185.0
248,model_LinearSVC,val,imbalanced,fp,52.0
249,model_LinearSVC,test,imbalanced,fp,21.0
250,model_LinearSVC,train,imbalanced,fp,207.0
251,model_LinearSVC,val,imbalanced,fp,47.0
252,model_LinearSVC,test,imbalanced,fp,26.0
253,model_LinearSVC,train,imbalanced,fp,205.0
254,model_LinearSVC,val,imbalanced,fp,57.0
255,model_LinearSVC,test,imbalanced,fp,23.0
256,model_LinearSVC,train,imbalanced,fp,189.0
257,model_LinearSVC,val,imbalanced,fp,48.0
258,model_LinearSVC,test,imbalanced,fp,23.0
259,model_LinearSVC,train,imbalanced,fp,215.0
260,model_LinearSVC,val,imbalanced,fp,60.0
261,model_LinearSVC,test,imbalanced,fp,27.0
262,model_LinearSVC,train,SMOTE,fp,182.0
263,model_LinearSVC,val,SMOTE,fp,53.0
264,model_LinearSVC,test,SMOTE,fp,20.0
265,model_LinearSVC,train,SMOTE,fp,192.0
266,model_LinearSVC,val,SMOTE,fp,39.0
267,model_LinearSVC,test,SMOTE,fp,21.0
268,model_LinearSVC,train,SMOTE,fp,187.0
269,model_LinearSVC,val,SMOTE,fp,45.0
270,model_LinearSVC,test,SMOTE,fp,20.0
271,model_LinearSVC,train,SMOTE,fp,174.0
272,model_LinearSVC,val,SMOTE,fp,42.0
273,model_LinearSVC,test,SMOTE,fp,26.0
274,model_LinearSVC,train,SMOTE,fp,202.0
275,model_LinearSVC,val,SMOTE,fp,53.0
276,model_LinearSVC,test,SMOTE,fp,23.0
277,model_SVC,train,imbalanced,fp,216.0
278,model_SVC,val,imbalanced,fp,46.0
279,model_SVC,test,imbalanced,fp,27.0
280,model_SVC,train,imbalanced,fp,198.0
281,model_SVC,val,imbalanced,fp,48.0
282,model_SVC,test,imbalanced,fp,27.0
283,model_SVC,train,imbalanced,fp,229.0
284,model_SVC,val,imbalanced,fp,49.0
285,model_SVC,test,imbalanced,fp,28.0
286,model_SVC,train,imbalanced,fp,210.0
287,model_SVC,val,imbalanced,fp,53.0
288,model_SVC,test,imbalanced,fp,28.0
289,model_SVC,train,imbalanced,fp,205.0
290,model_SVC,val,imbalanced,fp,56.0
291,model_SVC,test,imbalanced,fp,26.0
292,model_SVC,train,SMOTE,fp,0.0
293,model_SVC,val,SMOTE,fp,1.0
294,model_SVC,test,SMOTE,fp,1.0
295,model_SVC,train,SMOTE,fp,0.0
